period,year,month,value
199704,1997,4,39.65
199705,1997,5,43.59
199706,1997,6,47.71
199707,1997,7,51.35
199708,1997,8,53.89
199709,1997,9,55.28
199710,1997,10,55.15
199711,1997,11,53.85
199712,1997,12,52.19
199801,1998,1,34.99
199802,1998,2,36.85
199803,1998,3,38.34
199804,1998,4,41.52
199805,1998,5,45.71
199806,1998,6,49.44
199807,1998,7,53.16
199808,1998,8,55.76
199809,1998,9,57.23
199810,1998,10,57.02
199811,1998,11,55.91
199812,1998,12,54.22
199901,1999,1,33.78
199902,1999,2,36.64
199903,1999,3,38.68
199904,1999,4,41.9
199905,1999,5,45.53
199906,1999,6,49.32
199907,1999,7,52.89
199908,1999,8,55.39
199909,1999,9,56.38
199910,1999,10,56.22
199911,1999,11,55.48
199912,1999,12,53.87
200001,2000,1,33.57
200002,2000,2,36.68
200003,2000,3,39.79
200004,2000,4,42.99
200005,2000,5,47.01
200006,2000,6,50.68
200007,2000,7,53.99
200008,2000,8,56.49
200009,2000,9,57.5
200010,2000,10,57.26
200011,2000,11,55.51
200012,2000,12,53.25
200101,2001,1,31.37
200102,2001,2,32.67
200103,2001,3,35.6
200104,2001,4,39.97
200105,2001,5,44.54
200106,2001,6,48.65
200107,2001,7,52.33
200108,2001,8,55.08
200109,2001,9,56.25
200110,2001,10,56.07
200111,2001,11,55.28
200112,2001,12,53.68
200201,2002,1,34.48
200202,2002,2,35.44
200203,2002,3,36.8
200204,2002,4,40.98
200205,2002,5,44.63
200206,2002,6,49
200207,2002,7,52.83
200208,2002,8,55.33
200209,2002,9,56.61
200210,2002,10,56.13
200211,2002,11,54.84
200212,2002,12,53.2
200301,2003,1,32.81
200302,2003,2,32.8
200303,2003,3,36.3
200304,2003,4,40.2
200305,2003,5,44.35
200306,2003,6,48.29
200307,2003,7,52.17
200308,2003,8,54.98
200309,2003,9,56.08
200310,2003,10,56.13
200311,2003,11,54.88
200312,2003,12,53.24
200401,2004,1,30.36
200402,2004,2,31.97
200403,2004,3,37.11
200404,2004,4,41
200405,2004,5,45.18
200406,2004,6,48.99
200407,2004,7,52.4
200408,2004,8,54.62
200409,2004,9,55.84
200410,2004,10,55.79
200411,2004,11,54.72
200412,2004,12,53.08
200501,2005,1,33.39
200502,2005,2,35.67
200503,2005,3,37.88
200504,2005,4,41.47
200505,2005,5,45.09
200506,2005,6,49.1
200507,2005,7,52.84
200508,2005,8,55.39
200509,2005,9,56.72
200510,2005,10,56.58
200511,2005,11,55.53
200512,2005,12,53.63
200601,2006,1,38.93
200602,2006,2,36.88
200603,2006,3,38.79
200604,2006,4,42.9
200605,2006,5,46.77
200606,2006,6,50.77
200607,2006,7,54.43
200608,2006,8,56.8
200609,2006,9,57.52
200610,2006,10,57.02
200611,2006,11,55.85
200612,2006,12,54.24
200701,2007,1,31.35
200702,2007,2,31.88
200703,2007,3,37.13
200704,2007,4,40.49
200705,2007,5,44.85
200706,2007,6,49.02
200707,2007,7,52.68
200708,2007,8,55.43
200709,2007,9,56.65
200710,2007,10,56.65
200711,2007,11,55.5
200712,2007,12,53.64
200801,2008,1,30.27
200802,2008,2,32.49
200803,2008,3,35.61
200804,2008,4,39.3
200805,2008,5,43.31
200806,2008,6,47.69
200807,2008,7,51.45
200808,2008,8,54.05
200809,2008,9,55.29
200810,2008,10,55.16
200811,2008,11,54.14
200812,2008,12,52.28
200901,2009,1,31.05
200902,2009,2,33.91
200903,2009,3,36.9
200904,2009,4,40.4
200905,2009,5,44.64
200906,2009,6,48.62
200907,2009,7,52.05
200908,2009,8,54.53
200909,2009,9,55.84
200910,2009,10,55.31
200911,2009,11,54.44
200912,2009,12,52.38
201001,2010,1,30.67
201002,2010,2,31.24
201003,2010,3,35.34
201004,2010,4,39.82
201005,2010,5,43.83
201006,2010,6,48.27
201007,2010,7,52.04
201008,2010,8,54.79
201009,2010,9,56.09
201010,2010,10,56.09
201011,2010,11,54.84
201012,2010,12,52.98
201101,2011,1,29.71
201102,2011,2,31.38
201103,2011,3,35.27
201104,2011,4,39.45
201105,2011,5,43.38
201106,2011,6,47.78
201107,2011,7,51.83
201108,2011,8,54.72
201109,2011,9,55.98
201110,2011,10,55.89
201111,2011,11,54.79
201112,2011,12,53.17
201201,2012,1,36.12
201202,2012,2,36.82
201203,2012,3,41.34
201204,2012,4,44.68
201205,2012,5,48.43
201206,2012,6,52.11
201207,2012,7,55.63
201208,2012,8,57.9
201209,2012,9,58.83
201210,2012,10,58.34
201211,2012,11,57.03
201212,2012,12,55.27
201301,2013,1,32.25
201302,2013,2,33.51
201303,2013,3,35.97
201304,2013,4,39.39
201305,2013,5,43.68
201306,2013,6,48.13
201307,2013,7,51.85
201308,2013,8,54.49
201309,2013,9,55.88
201310,2013,10,55.63
201311,2013,11,54.36
201312,2013,12,52.42
201401,2014,1,30.56
201402,2014,2,31.35
201403,2014,3,34.4
201404,2014,4,38.72
201405,2014,5,43.23
201406,2014,6,47.62
201407,2014,7,51.29
201408,2014,8,53.9
201409,2014,9,55.26
201410,2014,10,55.43
201411,2014,11,53.96
201412,2014,12,52.53
201501,2015,1,33.08
201502,2015,2,33.04
201503,2015,3,37.15
201504,2015,4,41.17
201505,2015,5,45.1
201506,2015,6,49.47
201507,2015,7,52.96
201508,2015,8,55.45
201509,2015,9,56.9
201510,2015,10,56.94
201511,2015,11,55.81
201512,2015,12,54.38
201601,2016,1,32.22
201602,2016,2,35.85
201603,2016,3,39.72
201604,2016,4,43.09
201605,2016,5,46.53
201606,2016,6,50.74
201607,2016,7,54.23
201608,2016,8,56.64
201609,2016,9,57.8
201610,2016,10,57.79
201611,2016,11,56.9
201612,2016,12,54.9
201701,2017,1,33.57
201702,2017,2,37.37
201703,2017,3,40.29
201704,2017,4,43.66
201705,2017,5,47.04
201706,2017,6,50.92
201707,2017,7,54.46
201708,2017,8,56.65
201709,2017,9,57.72
201710,2017,10,57.51
201711,2017,11,56.38
201712,2017,12,54.54
201801,2018,1,32.16
201802,2018,2,33.84
201803,2018,3,36.8
201804,2018,4,39.85
201805,2018,5,44.98
201806,2018,6,49.41
201807,2018,7,53.12
201808,2018,8,55.67
201809,2018,9,56.99
201810,2018,10,56.66
201811,2018,11,55.14
201812,2018,12,53.51
201901,2019,1,32.56
201902,2019,2,32.2
201903,2019,3,34.89
201904,2019,4,39.38
201905,2019,5,43.4
201906,2019,6,47.62
201907,2019,7,51.47
201908,2019,8,54.25
201909,2019,9,55.82
201910,2019,10,55.45
201911,2019,11,54.14
201912,2019,12,52.66
202001,2020,1,35.53
202002,2020,2,35.85
202003,2020,3,39.26
202004,2020,4,42.16
202005,2020,5,45.9
202006,2020,6,49.97
202007,2020,7,53.63
202008,2020,8,56.26
202009,2020,9,57.33
202010,2020,10,57.03
202011,2020,11,56.05
202012,2020,12,54.36
202101,2021,1,34.59
202102,2021,2,32.6
202103,2021,3,36.91
202104,2021,4,40.64
202105,2021,5,44.58
202106,2021,6,49.25
202107,2021,7,52.98
202108,2021,8,55.6
202109,2021,9,56.96
202110,2021,10,56.96
202111,2021,11,55.88
202112,2021,12,54.5
202201,2022,1,31.17
202202,2022,2,32.42
202203,2022,3,36.3
202204,2022,4,39.9
202205,2022,5,44.3
202206,2022,6,48.72
202207,2022,7,52.67
202208,2022,8,55.41
202209,2022,9,56.81
202210,2022,10,56.65
202211,2022,11,55.22
202212,2022,12,53.38
202301,2023,1,35.08
202302,2023,2,35.71
202303,2023,3,37.32
202304,2023,4,40.81
202305,2023,5,45.12
202306,2023,6,49.1
202307,2023,7,52.89
202308,2023,8,55.57
202309,2023,9,56.93
202310,2023,10,56.84
202311,2023,11,55.69
202312,2023,12,54.36
202401,2024,1,31.86
202402,2024,2,36.32
202403,2024,3,39.19
202404,2024,4,42.8
202405,2024,5,46.69
202406,2024,6,50.87
202407,2024,7,54.42
202408,2024,8,56.87
202409,2024,9,58.17
202410,2024,10,58.25
202411,2024,11,57.06
202412,2024,12,55.48
202501,2025,1,29.17
202502,2025,2,31.97
202503,2025,3,36.93
202504,2025,4,41.09
202505,2025,5,45.22
202506,2025,6,49.55
202507,2025,7,53.24
202508,2025,8,55.76
202509,2025,9,57.12
202510,2025,10,57.1
202511,2025,11,56.16
202512,2025,12,54.63
202601,2026,1,33.15
202602,2026,2,36.73
202603,2026,3,41.44
202604,2026,4,44.77
202605,2026,5,48.16
202606,2026,6,51.91
